run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda
0,0,xgb,default,0.646,0.014170391667134694,0.6493931232276334,0.017520559548811186,0.6282078010230056,0.017989129087169254,0.6384527565559481,0.01410874547675595,312.6,9.090654541890808,169.0,12.083045973594572,,,,,,,,
1,1,xgb,random,0.6354,0.011943198901466903,0.6405547015087139,0.014894152834459008,0.609725824828489,0.00692532573852815,0.6247218030101945,0.010169517652803406,303.4,3.4985711369071804,170.4,9.28654941299512,137.0,0.17957772164083027,3.0,0.5000571874086724,0.6511662863159199,1.0,0.0923385947687978,0.8725204227553418
2,2,xgb,random,0.6792,0.012480384609458129,0.6887305991212532,0.014474472754314818,0.6487212431213789,0.013225254004271263,0.6680585409007098,0.012082505544109062,322.8,6.3999999999999995,146.0,8.87693640846886,268.0,0.05776231172598103,3.0,0.7748312389393546,0.7176611963091384,9.0,0.3205364371116073,0.8088533461786602
3,3,xgb,random,0.6422000000000001,0.004069397989875164,0.6455745004003905,0.004136758020069002,0.6229925739174,0.0037005539131143737,0.6340801722050543,0.0037181384519218387,310.0,1.6733200530681511,170.2,2.4819347291981715,252.0,0.13622217339271572,3.0,0.560664290602608,0.7846556637173405,4.0,0.8962930889334381,0.7511706209276725
4,4,xgb,random,0.6588,0.007756287771866134,0.6630217457642921,0.009404262803528348,0.6394697502282772,0.01131831754543414,0.650962876687846,0.007967857584778632,318.2,5.635601121442148,161.8,6.9397406291589885,222.0,0.16509321832720067,8.0,0.9863421799824421,0.8574079968371824,3.0,0.5975562052137366,0.7829283472340471
5,5,xgb,random,0.6329999999999999,0.00933809402394301,0.6347475194243735,0.009055604089060561,0.6181522872172796,0.018938112336050052,0.6262245362740968,0.012444479873730383,307.6,9.666436778875656,177.0,6.572670690061994,306.0,0.16060984592660646,9.0,0.6818684485502947,0.989722499580723,5.0,0.6117438629026457,2.031815712960631
6,6,xgb,random,0.6444000000000001,0.02581162528784271,0.6459392439458685,0.03073392019755703,0.6350650085250459,0.026802922715096846,0.6400173961742874,0.023354952673723815,316.0,13.145341380123988,174.0,22.181073012818835,301.0,0.07979697079517659,5.0,0.5321273022953295,0.6850547012226904,2.0,0.5298173621928216,1.3376148571133086
7,7,xgb,random,0.6574,0.012354756169184411,0.6597546756019214,0.015303487571629897,0.6438858047885707,0.01407532576312315,0.651615027066805,0.011930046774157642,320.4,7.116178749862877,165.4,10.190191362285598,275.0,0.06410086197396977,9.0,0.7192046157204468,0.8617325889154706,8.0,0.5011204636599379,0.6441022667195231
8,8,xgb,random,0.6556000000000001,0.012273548794053016,0.6563982902860891,0.011552980054777114,0.6459099981414592,0.016862363076232026,0.6510792873205469,0.013758917155607278,321.4,8.212186067059124,168.2,5.2306787322488075,233.0,0.08662754609903955,6.0,0.6163641639886454,0.5056994021387149,6.0,0.7660629257734966,1.3038502264421383
9,9,xgb,random,0.661,0.007615773105863914,0.6634345792010098,0.010473297901195566,0.6475172319054892,0.01347905374185917,0.6552481323271057,0.007765460279883491,322.2,6.49307323229917,163.6,8.662563131083086,226.0,0.1048695546713918,3.0,0.5669147644796383,0.5710555427272692,7.0,0.8772212074585868,0.7750536389365965
10,10,xgb,random,0.6678,0.013687950905814917,0.6716200575166951,0.01714168164058276,0.6511211849409712,0.008079753010815332,0.66116105697364,0.011830880818361292,324.0,4.1952353926806065,158.6,10.650821564555478,365.0,0.07481417278284423,3.0,0.7215074738443041,0.9159556794856005,1.0,0.02517172841774562,1.918416019686024
11,11,xgb,random,0.6824,0.016243152403397524,0.6883646897175892,0.01570831284435647,0.6611928599710712,0.026684420940407298,0.6742895253745941,0.018690567487741953,329.0,13.038404810405298,149.0,9.919677414109795,291.0,0.032921286223143685,4.0,0.5970578108911735,0.9631414801634982,8.0,0.4854270981677824,0.5255616291812173
12,12,xgb,random,0.6398,0.004308131845707607,0.6415611992105661,0.007520608472115559,0.6266183446057874,0.021426524884611747,0.6337059332130663,0.009033771769310257,311.8,10.514751542475931,174.4,10.669582934679312,255.0,0.14100745447731072,4.0,0.5432171394442744,0.8618009016460737,1.0,0.918747008099885,2.3014297082340245
13,13,xgb,random,0.6678000000000001,0.015393505123915066,0.6684168803554349,0.014630188486407856,0.6595476473297617,0.028493434482083278,0.6637225013888074,0.01928602317243688,328.2,14.386104406683554,162.8,9.389355675444401,276.0,0.06563118300523685,9.0,0.9464913456356123,0.5895767397157889,4.0,0.7516615138131563,1.7146866884161012
14,14,xgb,random,0.6454,0.01167218916913191,0.646231741410688,0.011240094904819187,0.635050463423109,0.022360757648399385,0.640431493485913,0.014789538134538417,316.0,11.099549540409287,173.0,7.797435475847171,207.0,0.16828401577453878,9.0,0.9352138428624064,0.504023474264909,1.0,0.22199405367014335,1.1388510960084859
15,15,xgb,random,0.681,0.0067230945255886175,0.6876348543274082,0.00974959631274015,0.6583565650933715,0.01940872372161565,0.6724365578042777,0.009261490254896212,327.6,9.728309205612248,149.0,9.654014708917737,345.0,0.05683438873814977,3.0,0.6807692230441115,0.637700464303206,6.0,0.02495303232907431,2.144596193797504
16,16,xgb,random,0.6508,0.015663971399361033,0.6524915041825692,0.011515675145647428,0.6370593036128417,0.03167624105743017,0.6444897578243609,0.021433271048502487,317.0,15.735310610216755,168.6,3.9293765408777,269.0,0.0789984238779135,8.0,0.7753507282905905,0.5228009750664031,5.0,0.22308094169128878,1.877452323642713
