run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion,param_class_weight
16,16,extra,random,0.6112,0.008997777503361603,0.647876900300452,0.015269222716194294,0.4798946288170791,0.012712245223945297,0.5512001908237794,0.009989216473747963,238.8,6.49307323229917,130.0,9.633275663033837,219.0,7.0,8.0,6.0,entropy,
17,17,extra,random,0.6119999999999999,0.016431676725154998,0.6382863632828129,0.02364768023520358,0.5100571299281633,0.015249416604127392,0.5668186630945214,0.015651626149307013,253.8,7.4404300950953095,144.2,13.614697940094008,161.0,10.0,3.0,7.0,entropy,
18,18,extra,random,0.6094,0.01609471963098458,0.6584886568405457,0.023177937741855805,0.44737501313099487,0.03661001162294961,0.5319725293350777,0.02813118508001926,222.6,18.03995565404749,115.6,12.658593918757328,348.0,4.0,5.0,9.0,gini,
19,19,extra,random,0.6158,0.013317657451669204,0.6292787024161162,0.015033068508986572,0.5546677656299241,0.014016875167095216,0.589612200570123,0.01430844450927224,276.0,6.870225614927067,162.6,6.740919818541087,143.0,12.0,8.0,6.0,gini,balanced
20,20,extra,random,0.6146,0.016292329483533055,0.6384290118409213,0.01773478168515242,0.5192803406786098,0.026633438016201442,0.5725664960497717,0.02211892627376323,258.4,13.380582946942184,146.2,7.025667228100119,405.0,13.0,4.0,5.0,gini,
21,21,extra,random,0.61,0.02737882393383619,0.6560391564830053,0.036272272179052066,0.45336597900656955,0.040432429057224197,0.535762037917123,0.038846151694815464,225.6,20.185143051264216,118.0,12.727922061357855,257.0,4.0,2.0,5.0,entropy,
22,22,extra,random,0.6234,0.00849941174435032,0.6478985718765721,0.012690771803069665,0.5333624235372072,0.014200849005733438,0.5849110445485548,0.00980129996536939,265.4,7.031358332498778,144.4,9.134549797335389,423.0,4.0,6.0,1.0,gini,balanced
23,23,extra,random,0.599,0.014926486525636247,0.607967680895881,0.015361406683207787,0.5462461516084459,0.029257171756188353,0.5751799757820729,0.020874961813703234,271.8,14.330387294138287,175.2,9.558242516278815,133.0,14.0,8.0,9.0,entropy,balanced
24,24,extra,random,0.6279999999999999,0.012345039489608783,0.6516805251013118,0.02034004472612949,0.5446203324363854,0.015265975522766944,0.593002899213366,0.009594077871296711,271.0,7.483314773547883,145.4,15.06784656146989,468.0,13.0,5.0,1.0,entropy,balanced
25,25,extra,random,0.6222,0.019384529914341506,0.6411476275834411,0.018925469359182916,0.5454057679409792,0.03380701756585367,0.589190298490159,0.026997034587669128,271.4,16.930445948054647,151.6,6.499230723708768,182.0,8.0,8.0,7.0,gini,balanced
26,26,extra,random,0.611,0.01963670033381374,0.6255979202205907,0.01633514222681127,0.5406155810364194,0.04331996241427846,0.5795590807206681,0.03216258357825942,269.0,21.438283513378586,160.4,3.49857113690718,359.0,13.0,8.0,7.0,gini,balanced
27,27,extra,random,0.5900000000000001,0.00809938269252664,0.5995719306876326,0.007994647925894589,0.5297463495834445,0.015310316441993828,0.5624401742155682,0.011477632393645453,263.6,7.552483035399681,176.0,3.9496835316262997,69.0,12.0,2.0,9.0,entropy,
28,28,extra,random,0.612,0.009715966241192904,0.6363835591124843,0.01255354127119401,0.5140667296954418,0.016666639354837195,0.5685972961330623,0.01312337691916379,255.8,8.304215796810677,146.2,7.30479294709987,307.0,3.0,3.0,6.0,gini,balanced
29,29,extra,random,0.6224000000000001,0.018128430709799474,0.651316479128403,0.020351234127223165,0.5180722891566265,0.026708342385631204,0.5770149335273674,0.024176516932883956,257.8,13.43726162579266,137.8,6.241794613730893,421.0,10.0,6.0,3.0,gini,
30,30,extra,random,0.6234,0.022861321046693715,0.6421009740755166,0.024081287617088238,0.5486541740402252,0.030284848343625798,0.5916092044172341,0.027078024253609653,273.0,14.872793954062566,152.0,9.528903399657276,343.0,10.0,7.0,5.0,entropy,balanced
31,31,extra,random,0.6092000000000001,0.012106196760337256,0.6193227957350369,0.014678537839432826,0.5574741622425315,0.010418150438722995,0.5867416214581058,0.011694644467518266,277.4,5.238320341483518,170.6,8.284926070883191,260.0,,9.0,1.0,entropy,balanced
32,32,extra,random,0.6254000000000001,0.006343500610861488,0.6499995908205751,0.007784272253543358,0.5357841830097049,0.014971787044942269,0.5872660014863542,0.009769417782982794,266.6,7.227724399837061,143.6,6.053098380168622,265.0,3.0,5.0,6.0,gini,balanced
33,33,extra,random,0.5836,0.020489997559785107,0.5880651365452616,0.02205514205311783,0.5445952825386051,0.026178877617146518,0.5653865934827083,0.02320986641064994,271.0,13.221195104830729,189.8,11.214276615100948,70.0,11.0,9.0,9.0,gini,balanced
34,34,extra,random,0.6278,0.020575713839378715,0.650681105138254,0.022160299102995315,0.5429880487745751,0.030051439449863257,0.5918722434407017,0.02671072993717487,270.2,15.118200951171406,144.8,7.30479294709987,467.0,10.0,4.0,7.0,entropy,balanced
35,35,extra,random,0.6164,0.011672189169131908,0.6328393748982717,0.007842440654022136,0.5449896164133394,0.03799774635790863,0.5850453046620104,0.024171830609117564,271.2,19.093454375780198,157.2,9.108238029388561,251.0,10.0,9.0,8.0,entropy,balanced
36,36,extra,random,0.614,0.012680693987317897,0.6338403674694421,0.013070858931782642,0.5305398657002256,0.02158341898046331,0.5775076261977163,0.017551095735621487,264.0,10.825894882179487,152.4,5.122499389946279,183.0,7.0,4.0,9.0,gini,balanced
37,37,extra,random,0.6244000000000001,0.01613195586406064,0.6459120730276323,0.013353396506689092,0.541418793887825,0.038321341799277674,0.5885756001364093,0.02767538037741087,269.4,18.937792902025304,147.4,7.1442284397967,449.0,12.0,5.0,6.0,gini,balanced
38,38,extra,random,0.6136,0.029261578904768645,0.6376029381256741,0.03580927316936116,0.5168723182468303,0.037226748116815665,0.5707449986375918,0.03582711114470854,257.2,18.594622878671135,146.0,13.784048752090222,467.0,12.0,5.0,6.0,entropy,
39,39,extra,random,0.608,0.020248456731316606,0.6537959360329733,0.026765417180077297,0.4501523195397283,0.0314411758091728,0.5329377482340538,0.02961888560477206,224.0,15.709869509324385,118.4,8.822698000045111,443.0,5.0,3.0,1.0,entropy,
40,40,extra,random,0.6192,0.012448293055676359,0.6417589332565032,0.014742005322269344,0.5313487349801621,0.02357506550440935,0.5811398745268006,0.01778789751233924,264.4,11.740528097151337,147.6,8.309031231136395,376.0,9.0,5.0,8.0,gini,balanced
41,41,extra,random,0.6332,0.013496666255042403,0.658498198890354,0.0129289309420401,0.545429201716322,0.023866751483765578,0.5965358310127118,0.01914492542128969,271.4,11.757550765359253,140.6,4.029888335921977,498.0,8.0,5.0,3.0,entropy,balanced
42,42,extra,random,0.6076,0.010707007051459348,0.6184116307214615,0.012596334644343954,0.5526605415626288,0.01856513332595615,0.5835171701032931,0.012850609141762498,275.0,9.121403400793104,169.8,9.239047569960878,152.0,12.0,5.0,8.0,gini,balanced
43,43,extra,random,0.6080000000000001,0.007615773105863915,0.6233707457210845,0.005518459717069462,0.5361736685171269,0.031042783178363308,0.5760207863249539,0.01844372720561005,266.8,15.43243337908834,161.2,9.57914401186244,374.0,,2.0,2.0,entropy,balanced
44,44,extra,random,0.6237999999999999,0.020123617964968445,0.6498262459562756,0.026840898811188892,0.5305334012104758,0.024965200422727943,0.5838379591438669,0.0223118085772003,264.0,12.569805089976535,142.6,15.14727698300919,326.0,8.0,5.0,2.0,gini,balanced
45,45,extra,random,0.6182,0.00988736567544663,0.6593760565149224,0.015795462175484085,0.4819163979863115,0.014096491059615466,0.5567121294764132,0.01233350498632073,239.8,6.968500556073738,124.0,8.12403840463596,464.0,6.0,5.0,1.0,entropy,
46,46,extra,random,0.6268,0.019093454375780215,0.6583484851296347,0.029308374792582127,0.5221069388216851,0.022745729354360086,0.5819392544507899,0.020385769481927694,259.8,11.320777358467925,135.4,16.942254867637896,239.0,3.0,7.0,9.0,entropy,balanced
47,47,extra,random,0.6068,0.01511820095117142,0.6379352007020277,0.017076266992162702,0.4847397638845119,0.02937096117053463,0.5505475574595613,0.023733830277804666,241.2,14.510685717773644,136.8,8.565045242145542,185.0,7.0,8.0,8.0,gini,
48,48,extra,random,0.5746,0.02725876005984131,0.5777513637564413,0.02715960363770233,0.5353793443391272,0.03863146961790005,0.5556613788611193,0.03318127579926454,266.4,19.137397942249102,194.2,8.565045242145544,50.0,10.0,5.0,2.0,entropy,balanced
49,49,extra,random,0.5958,0.018529975715040767,0.647424746297459,0.028439235356639853,0.412390002666602,0.027134452318476412,0.50352452555504,0.026370031090262352,205.2,13.422369388450013,111.8,11.034491379306978,476.0,3.0,7.0,9.0,entropy,
50,50,extra,random,0.619,0.009695359714832668,0.6491231665521136,0.015951754733939148,0.5116789087941302,0.028969343225918133,0.5716278449209993,0.0169673096150646,254.6,14.207040508142432,138.0,13.899640283115243,226.0,9.0,2.0,2.0,entropy,
51,51,extra,random,0.6072,0.0143443368616329,0.6266362608798464,0.015999041312479794,0.5204851599557182,0.022969526316739614,0.5685399845757901,0.019592499773883144,259.0,11.575836902790225,154.2,6.43117407632541,107.0,5.0,7.0,1.0,gini,balanced
52,52,extra,random,0.6174,0.012043255373859689,0.6548450595990223,0.019912770601837992,0.48994771843914897,0.011360775767942075,0.5603524630525293,0.011334742627489298,243.8,5.741080037762929,128.8,11.160645142642965,206.0,6.0,5.0,8.0,gini,
53,53,extra,random,0.5898,0.014091131963046842,0.6019838607544373,0.01585326203085202,0.5176763391594548,0.024535474969876632,0.5565056130121165,0.019875861679494,257.6,12.289833196589774,170.2,7.30479294709987,75.0,11.0,7.0,6.0,gini,
54,54,extra,random,0.6117999999999999,0.015038616957685984,0.6538601362749737,0.024786867565112777,0.46906499236382143,0.022616762007307,0.545814755459124,0.01803036220622961,233.4,11.11035552986492,124.0,14.028542333400146,161.0,4.0,7.0,3.0,entropy,
55,55,extra,random,0.617,0.018165902124584965,0.6373438666896668,0.019611483636654263,0.5333462623128329,0.026384736488066173,0.580655884136096,0.02353001345568008,265.4,13.27554142022087,150.8,6.11228271597445,204.0,3.0,9.0,9.0,gini,balanced
