run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_criterion,param_class_weight
0,0,rf,default,0.6182,0.008447484832777158,0.6278167946067448,0.012389686583212264,0.5727424789702068,0.006969074967149474,0.5988941327281037,0.004669882296421939,285.0,3.7416573867739413,169.2,10.49571341072154,,,,,,
1,1,rf,random,0.6246,0.014705101155721451,0.6527791535698113,0.016418332987290462,0.524123859623605,0.021045166051253252,0.5813651785720351,0.019167996675494674,260.8,10.380751417888783,138.6,5.238320341483518,87.0,6.0,4.0,6.0,gini,
2,2,rf,random,0.6312,0.025451129640941306,0.6567182160360572,0.02597251160375212,0.5406244697098253,0.03928315131673662,0.5928074224187421,0.03354557230225178,269.0,19.339079605813716,140.2,8.328265125462806,218.0,4.0,4.0,7.0,gini,balanced
3,3,rf,random,0.6366,0.017211623979160144,0.6692905161702152,0.020998973997024037,0.5329454639483486,0.020561158978680154,0.5933430011638853,0.020450449764398065,265.2,10.4,131.0,8.294576541331088,412.0,7.0,1.0,3.0,gini,
4,4,rf,random,0.6399999999999999,0.019758542456365567,0.6668568221435619,0.023908968356789954,0.5530645721719878,0.025675512996492962,0.6044457432326787,0.02292389444861148,275.2,12.671227249165726,137.6,12.2245654319489,172.0,7.0,3.0,9.0,entropy,balanced
5,5,rf,random,0.6432,0.007304792947099876,0.6657120697845583,0.00921822700722301,0.5687377275702408,0.016333885715840598,0.6132534062405616,0.010298400835841971,283.0,8.0,142.2,7.30479294709987,405.0,8.0,3.0,9.0,entropy,balanced
6,6,rf,random,0.6247999999999999,0.023777300099044066,0.6616374764831306,0.02828625133007988,0.5036176900762002,0.043386427635933256,0.5711024716462211,0.03470489667084661,250.6,21.60185177247543,128.2,15.58717421471897,444.0,5.0,2.0,5.0,entropy,
7,7,rf,random,0.637,0.01245792920191796,0.6620785017866303,0.010981994538791201,0.551860560956098,0.02431739205434277,0.601823975533885,0.0188220508537082,274.6,11.976643937263894,140.0,3.286335345030997,225.0,9.0,1.0,3.0,gini,
8,8,rf,random,0.6372,0.013466996695625953,0.6704000660684113,0.01655190354667689,0.5329648574175979,0.023173319075817964,0.5936299367526072,0.018505966154799436,265.2,11.461239025515521,130.4,8.138795979750322,390.0,7.0,2.0,3.0,entropy,
9,9,rf,random,0.6428,0.018680471086137004,0.6717832714161772,0.02163407171637778,0.5514573384079577,0.02328350237361731,0.6056392742550123,0.02228058970193493,274.4,11.46472851837321,134.0,8.579044235810887,432.0,11.0,1.0,8.0,entropy,
10,10,rf,random,0.6342,0.008518215775618749,0.6729823855042,0.012578428119423767,0.5168965600833919,0.036693132021148114,0.5837085723678406,0.021482362231882726,257.2,18.15929514050587,125.4,14.192955999368138,315.0,4.0,2.0,6.0,entropy,
11,11,rf,random,0.6504000000000001,0.014178857499812894,0.6828434093233662,0.01133203248786447,0.5546879671603919,0.028999142069929085,0.6119037634139189,0.021745199748314743,276.0,14.184498581197715,128.0,3.1622776601683795,459.0,11.0,4.0,2.0,entropy,
12,12,rf,random,0.6452,0.010361467077590905,0.6707882056800458,0.010544459471456758,0.5634926021995426,0.023539807129208362,0.6122571061874749,0.016278284769700186,280.4,11.859173664298874,137.6,6.711184694225007,381.0,11.0,4.0,8.0,entropy,
13,13,rf,random,0.6402000000000001,0.013377593206552527,0.6676348372764223,0.01835552247565622,0.5522540867696136,0.010586448976864109,0.604409668653866,0.012371604876338036,274.8,5.192301994298868,137.0,10.334408546211051,388.0,8.0,1.0,4.0,entropy,balanced
14,14,rf,random,0.6312,0.009967948635501699,0.6608643805180205,0.010499926066211763,0.5321527558927864,0.03355736375241697,0.588949279825313,0.020356198273658768,264.8,16.726027621644057,136.0,10.469001862641921,157.0,5.0,1.0,6.0,gini,
15,15,rf,random,0.638,0.012231107881136535,0.6605299046194231,0.01830905378060753,0.5623047522080273,0.013984609268499424,0.6072221715375167,0.01023254555259261,279.8,6.8527366796047255,144.2,13.526270735128733,295.0,7.0,1.0,7.0,gini,balanced
