score,std,per_seed,fixed_baseline,seed0_score,k,N,thr,tp,fp,features,hp
5638.333333333333,37.932688922470135,"[5585, 5660, 5670]",5615.0,5585,5,999,0.7255463994197053,772,227,"['V255', 'V191', 'V160', 'V380', 'V342']","{'C': 0.02947358851892582, 'gamma': 0.2616383331170402}"
5598.333333333333,51.85449728701349,"[5635, 5635, 5525]",5570.0,5635,6,1000,0.48294446856926854,789,211,"['V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'C': 3.4551049828917253, 'gamma': 0.0064182538382998085}"
5560.0,35.35533905932738,"[5535, 5535, 5610]",5506.666666666667,5535,5,1000,0.6833514959873321,769,231,"['V176', 'V191', 'V160', 'V380', 'V342']","{'C': 4.538913423478293, 'gamma': 0.06259057686777875}"
5546.666666666667,34.721111093332766,"[5545, 5505, 5590]",5495.0,5545,6,1000,0.6129750680971853,783,217,"['V176', 'V255', 'V191', 'V215', 'V380', 'V342']","{'C': 38.231069558827336, 'gamma': 0.0024796095653187703}"
5538.333333333333,44.96912521077347,"[5565, 5575, 5475]",5538.333333333333,5565,6,999,0.7369410043628966,784,215,"['V176', 'V191', 'V160', 'V215', 'V380', 'V342']","{'C': 1.0, 'gamma': 0.16666666666666666}"
