score,k,N,thr,tp,fp,features,hp
5370,5,994,0.7305583162223703,756,238,"['V176', 'V191', 'V160', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5365,3,1000,0.677275945260132,731,269,"['V176', 'V255', 'V160']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
5365,4,996,0.687400708973956,743,253,"['V176', 'V255', 'V160', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5355,4,998,0.6822359749826501,743,255,"['V176', 'V160', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5350,4,999,0.7001527715273264,743,256,"['V176', 'V191', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5340,5,997,0.7156511969080103,755,242,"['V191', 'V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5320,5,998,0.7112541582913104,754,244,"['V176', 'V255', 'V160', 'V215', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
5315,4,1000,0.6633868843259898,741,259,"['V176', 'V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5315,4,1000,0.7238791439590666,741,259,"['V176', 'V255', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5305,6,1000,0.7780543726079531,767,233,"['V176', 'V255', 'V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5285,4,1000,0.6813535905085008,739,261,"['V176', 'V191', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5280,3,999,0.7048749844300476,725,274,"['V255', 'V191', 'V160']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5275,4,999,0.6843084207412541,738,261,"['V176', 'V255', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5270,4,997,0.6721978677654059,737,260,"['V255', 'V160', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5270,4,1000,0.7122106461887502,738,262,"['V176', 'V255', 'V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5270,4,997,0.6765822559689694,737,260,"['V176', 'V191', 'V160', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
5270,4,1000,0.7241757781200263,738,262,"['V255', 'V191', 'V160', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5265,3,999,0.6647201302446787,724,275,"['V176', 'V255', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
5265,4,998,0.6942249941017604,737,261,"['V191', 'V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5260,3,994,0.5991563785673832,722,272,"['V176', 'V191', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5255,3,998,0.5641315310983378,723,275,"['V176', 'V160', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5255,4,1000,0.7121648328268454,737,263,"['V176', 'V255', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
