score,k,N,thr,tp,fp,features,hp
5360,4,1000,0.5515934756130189,744,256,"['V176', 'V255', 'V191', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5355,5,997,0.5398770080170381,756,241,"['V176', 'V255', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5355,5,1000,0.5353968663823455,757,243,"['V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5335,3,1000,0.5301207798359133,729,271,"['V176', 'V255', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5335,5,998,0.5307956467727154,755,243,"['V176', 'V255', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5320,5,998,0.5345087670325375,754,244,"['V176', 'V255', 'V191', 'V160', 'V215']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5315,5,999,0.5403672360764845,754,245,"['V176', 'V255', 'V160', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5315,5,999,0.5407067275816547,754,245,"['V176', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5310,6,999,0.5174192675343756,767,232,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
5300,4,1000,0.5443598358317329,740,260,"['V176', 'V191', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
